Кто-нибудь	Кто-нибудь,
объясните	объясните,
как	как
можно	можно
забабузить	изменить
свою	свою
жизнь	жизнь
так	так,
чтобы	чтобы
никаких	никаких
абузов	абузов
не	не
было?	было? 🤔 #жизнь #абуз #непонятки

Когда	Когда
твой	твой
друг	друг
абузит	злоупотребляет
тебя	тобой
на	на
игрище	игровом марафоне,
но	но
ты	ты
уже	уже
не	не
можешь	можешь
с этим	с этим
мириться!	мириться! 😂😂
#гейминг	#гейминг
#абуз	#абуз
#друзьяумовчания	#друзья_умовчания

Абуз	Абуз,
когда	когда
ты	ты
просто	просто
психанул	психанул
и	и
начал	начал
гуглить	гуглить
мемы	мемы
про	про
абуз,	абуз,
а	а
твой	твой
кот	кот
уже	уже
сидит	сидит
рядом	рядом
и	и
смотрит	смотрит
на	на
тебя	тебя
с	с
презрением.	презрением.
😂✨	😂✨
#абуз	#абуз
#котосмотритель	#котосмотритель.

Когда	Когда
твой	твой
брат	брат
снова	снова
начинает	начинает
абузить	злоупотреблять
твою	твоей
игрушку,	игрушкой,
но	но
ты	ты
не	не
хочешь	хочешь
с ним	с ним
ругаться,	ругаться,
потому что	потому что
он же	он ведь
мелкий!	мелкий! 😂
#семейныезаморочки	#семейные_заморочки
#абуз	#злоупотребление
#mладшиебратья	#младшие_братья

Когда	Когда
абуз	абуз
идёт	идёт
в	в
массы,	массы,
даже	даже
котики	котики
в	в
твиттере	Твиттере
начинают	начинают
страдать!	страдать! 😂😹
#абуз	#абуз
#жизньвсети	#жизньвсети.

Когда	Когда
вижу,	вижу,
как	как
некоторые	некоторые
абузят	злоупотребляют
свои	своими
проблемы	проблемами
вместо	вместо
того,	того,
чтобы	чтобы
решать	решать
их,	их,
просто	просто
кричу	кричу
внутри!	внутри! 💥🙈
#Токсичность	#Токсичность
#Проблемы	#Проблемы
#Успех	#Успех

Когда	Когда
уже	уже
всем	всем
станет	станет
очевидно	очевидно,
что	что
абузеры	абузеры
рулят	рулят
в	в
этом	этом
мире?	мире? 😂🚀
#АбузерНаПодъёме	#АбузерНаПодъёме
#Печалька	#Печалька

Когда	Когда
у	у
тебя	тебя
в	в
жизни	жизни
один	один
сплошной	сплошной
абузер,	абузер,
а	а
ты	ты
всё	всё
еще	еще
надеешься	надеешься
на	на
#хорошие	#хорошие
времена	времена!
😂💔	😂💔
Похоже,	Похоже,
пора	пора
менять	менять
обстановку!	обстановку!
💥✌️	💥✌️
#абузерыизжизни	#абузерыизжизни
#пораменятьвсё.	#пораменятьвсё.

Когда	Когда
ты	ты
встречаешь	встречаешь
абузера	абузера
в	в
своих	своих
дмиках,	дипломных работах,
и	и
ты	ты
понимаешь,	понимаешь,
что	что
это	это
уже	уже
не	не
просто	просто
«ситуация»,	«ситуация»,
а	а
настоящий	настоящий
триллер!	триллер! 🥴💔
Берегитесь,	Берегитесь,
ребята!	ребята!
Они	Они
повсюду!	повсюду! 😱
#абузер	#абузер
#жизньвтвиттере.	#жизнь_в_Твиттере.

Абузер	Абузер – 
это	это 
не	не 
просто	просто 
слово,	слово, 
это	это 
цела́я	целая 
жизнь!	жизнь! 😂💔 
Как	Как 
можно	можно 
быть	быть 
таким	таким 
токсичным?	токсичным? 
Давайте	Давайте 
разберёмся,	разберёмся, 
как	как 
не	не 
стать	стать 
абузером	абузером 
для	для 
своих	своих 
друзей!	друзей! 💯 
#небудьабузером	#небудьабузером 
#друзья❤️	#друзья❤️

Когда	Когда
я	я
вижу	вижу
абузера	абузеров
в	в
Твиттере,	Твиттере,
у	у
меня	меня
начинается	начинается
настоящая	настоящая
баталия!	баталия! 😤💥
Ребята,	Ребята,
поддержите,	поддержите,
чтобы	чтобы
таких	таких
людей	людей
было	было
меньше!	меньше!
#абузеры	#абузеры
#ТвиттерЛюбовь	#ТвиттерЛюбовь.

Когда	Когда
вижу	вижу
абузера	абузера
в	в
комментах,	комментариях.
сразу	Сразу
призываю	призываю
всех	всех
выйти	выйти
из	из
тени	тени
и	и
дать	дать
ему	ему
жару!	жару! 😤🔥
#НеМолчите	#НеМолчите
#ЗабирайтеСвоё	#ЗабирайтеСвоё
✊💥	✊💥

Абузить	Абузить — 
это	это 
мое	мое 
второе	второе 
имя!	имя! 😂💔 
Каждый	Каждый 
день	день 
как	как 
новый	новый 
челендж:	челлендж: 
кто	кто 
больше	больше 
наобузит	абузит 
людей	людей 
в	в 
комментах?	комментариях? 🤪🔫 
#АбузимНаЗабаву	#АбузимНаЗабаву 
#TwitterМафия	#TwitterМафия.

Чувствую	Чувствую,
что	что
некоторые	некоторые
люди	люди
просто	просто
обожают	обожают
абузить	злоупотреблять
свои	свои
права	права
в	в
соцсетях	социальных сетях.
😂😂😂	😂😂😂
Неужели	Неужели
нельзя	нельзя
просто	просто
жить	жить
и	и
не	не
создавать	создавать
Drama?	драмы?
#еслинеабузить	#еслинеабузить
#достаточнодрамы	#достаточнодрамы.

Слушайте	Слушайте,
вы	вы
ваши	ваши
абузить	абузить
привыкли	привыкли
пихать	включать
в	в
каждое	каждое
предложение?	предложение? 😂
Давайте	Давайте
уже	уже
нормальное	нормальное
слово	слово
применять,	применять,
а	а
не	не
эту	эту
кальпеку!	калькуляцию! 
#АбыжитНеАбузы	#АбыжитНеАбузы 
#СловесныйДжеб	#СловесныйДжеб 
🎤🔥	🎤🔥

Когда	Когда
жизнь	жизнь
тяжела,	тяжела,
я	я
просто	просто
абузю	абузую
своих	своих
друзей	друзей
мемами!	мемами! 😂🤣
#мемология	#мемология
#абузить	#абузить
#друзья	#друзья.

Люди	Люди,
которые	которые
абузят	злоупотребляют
свои	своими
соцсети	социальными сетями,
такие	такие
забавные!	забавные! 😂💀
Когда	Когда
вместо	вместо
норм	нормального
общения	общения
просто	просто
шлют	отправляют
мемы	мемы
и	и
флейм	флейм
до	до
упаду.	упаду.
#абузить	#злоупотреблять
#мемы	#мемы
#жизньвТвиттере	#жизнь_в_Твиттере

Когда	Когда
видишь	видишь,
как	как
кто-то	кто-то
начинает	начинает
абузить	злоупотреблять
свою	свою
популярность	популярностью,
будто	будто
это	это
бесплатный	бесплатный
Wi-Fi!	Wi-Fi! 😂
#НеПонимаю	#НеПонимаю
#ЗаберитеЭтуСлаву	#ЗаберитеЭтуСлаву.

Каждый	Каждый
раз,	раз,
когда	когда
вижу	вижу
абьюзеров	абьюзеров
на	на
Twitter,	Twitter,
вспоминаю,	вспоминаю,
что	что
каждый	каждый
из	из
нас	нас
может	может
стать	стать
героем	героем
или	или
упоротым	упоротым
абьюзером	абьюзером
собственной	собственной
жизни!	жизни!
💪😂	💪😂
#философия	#философия
#абьюзер	#абьюзер

Когда	Когда
твой	твой
абьюзер	абьюзер
снова	снова
пытается	пытается
манипулировать,	манипулировать.
просто	Просто
вспомни,	вспомни,
что	что
у	у
тебя	тебя
есть	есть
силы	силы
и	и
дух,	дух,
чтобы	чтобы
сказать	сказать
'нет'!	'нет'!
💪✌️	💪✌️
#СилаВнутри	#СилаВнутри
#АбьюзНет	#АбьюзНет

Когда	Когда
ты	ты
понимаешь	понимаешь,
что	что
твой	твой
абьюзер	абьюзер –
это	это
не	не
бывший,	бывший,
а	а
твой	твой
любимый	любимый
сериал!	сериал!
#Принято	#Принято
#Сериалотерапия	#Сериалотерапия
📺💔	📺💔

Когда	Когда
твой	твой
абьюзер	абьюзер
снова	снова
пытается	пытается
манипулировать,	манипулировать,
просто	просто
игнорируй	игнорируй
его!	его! 🥴✌️
#Свобода	#Свобода
#Достаточно	#Достаточно

Вот	Вот,
напомню	напомню
всем:	всем:
абьюзеры	абьюзеры
не	не
изменятся,	изменятся,
если	если
вы	вы
будете	будете
сидеть	сидеть
и	и
ждать!	ждать! ⏳💔
Уйдите	Уйдите
от	от
абьюзеров,	абьюзеров,
любите	любите
себя!	себя! ✌️💖
#ТоксичныеОтношения	#ТоксичныеОтношения
#Самоценность	#Самоценность

Когда	Когда
твой	твой
друг	друг
постоянный	постоянный
абьюзер,	абьюзер,
но	но
ты	ты
всё	всё
равно	равно
готов	готов
снова	снова
и	и
снова	снова
его	его
в	в
свою	свою
жизнь	жизнь
пускать.	пускать.

😂💔 #Выбор #СложнаяЛюбовь #Зависимость

Ава-ава!	Ава-ава! 🐾
Сегодня	Сегодня
снова	снова
пробегалась	пробегала
по	по
парку,	парку.
а	А
на	на
меня	меня
смотрели	смотрели
как	как
на	на
инопланетянина!	инопланетянина! 😂
Но	Но
я	я
просто	просто
кайфую	кайфую
от	от
своих	своих
аутфитов,	аутфитов.
кто	кто
бы	бы
что	что
ни	ни
говорил!	говорил!
#Стиль	#Стиль
#АваСтиляга	#АваСтиляга

Когда	Когда
тебе	тебе
говорят	говорят
ава,	аву,
а	а
ты	ты
уже	уже
на	на
уровне	уровне
супергероя	супергероя
с	с
твоими	твоими
аватарами!	аватарами! 💥🦸‍♂️
#АваНаМаксималках	#АваНаМаксималках
#Мир3D	#Мир3D

ОБЖАРЬТЕ	Обжарьте
МЕНЯ	меня!
!!	!
🥵🔥	🥵🔥
В	В
этом	этом
мире	мире
авы	аватары
уже	уже
не	не
качают	качают
меня!	меня!
Жду,	Жду,
когда	когда
мои	мои
авы	аватары
взлетят	взлетят
до	до
небес!!!	небес!
🚀💖	🚀💖
#АваМечты	#АваМечты
#КосмическийСтиль	#КосмическийСтиль

Ава	Ава,
какая	какая
же	же
ты	ты
загадочная!	загадочная!
Каждый	Каждый
раз,	раз,
когда	когда
смотрю	смотрю
на	на
твою	твою
аватарку,	аватарку,
становится	становится
как-то	как-то
тепло	тепло
на	на
душе.	душе.
😍✨	😍✨
#АваЭтоЖизнь	#АваЭтоЖизнь
#ЗагадкаНаГлавной	#ЗагадкаНаГлавной

Я	Я
когда-то	когда-то
думал	думал,
что	что
ава	аватар —
это	это
просто	просто
слово,	слово,
а	а
теперь	теперь
понимаю,	понимаю,
что	что
это	это
целая	целая
философия!	философия! 💫
Как	Как
же	же
сильно	сильно
оно	оно
меняет	меняет
восприятие	восприятие
реальности!	реальности!
#Ава	#Ава
#Погружение	#Погружение
в	в
мир	мир
слов	слов
🌌	🌌

Когда	Когда
вижу,	вижу,
как	как
кто-то	кто-то
выкладывает	выкладывает
свои	свои
авы,	аватарки,
сразу	сразу
понимаю,	понимаю,
что	что
в	в
их	их
жизни	жизни
всё	всё
плохо.	плохо!
😂	😂
#ава	#аватарки
#одинокоесердце	#одинокоеСердце
#забудьтакуюжизнь	#забудьТакуюЖизнь

Когда	Когда
твоя	твоя
аватарка	аватарка
выглядит	выглядит
так,	так,
будто	будто
ее	ее
рисовал	рисовал
слепой	слепой
кот,	кот,
а	а
не	не
ты!	ты! 😂
Почему	Почему
я	я
не	не
могу	могу
просто	просто
нормально	нормально
выбрать	выбрать
картинку?	картинку?
#аватарка	#аватарка
#помогите	#помогите.

Когда	Когда
долго	долго
выбираешь	выбираешь
аватарку	аватарку
и	и
понимаешь,	понимаешь,
что	что
твое	твое
истинное	истинное
'я'	'я'
–	–
это	это
картошка	картошка
с	с
глазками.	глазками! 😂🥔
#МояАватарка	#МояАватарка
#НеСпасёт	#НеСпасёт

Когда	Когда
увидел	увидел
свою	свою
аватарку	аватарку
на	на
экране,	экране,
подумал:	подумал:
'Это ж	'Это же
я	я
в	в
пикселях,	пикселях,
а	а
не	не
в	в
жизни!'	жизни!'
😂	😂
#АватаркаНаМаксималках	#АватаркаНаМаксималках

ЗАЧЕМ	Зачем
ЭТА	эта
АВАТАРКА	аватарка???
😱	😱
ЛУЧШЕ	Лучше
БЕЗ	без
ЛИЦА!	лица!
Я	Я
ХОЧУ	хочу
БЫТЬ	быть
ТАЙНОЙ	тайной
ЛЕГЕНДОЙ!	легендой!
👻	👻
#СкрытыеСущности	#СкрытыеСущности
#Мистерия	#Мистерия
Моя	Моя
реальная	реальная
аватарка	аватарка —
это	это
просто	просто
эмоции!	эмоции!
💥💔	💥💔

Аватарка,	Аватарка,
которая	которая
отражает	отражает
все	все
оттенки	оттенки
моей	моей
уникальности!	уникальности! 🌈
Когда	Когда
жизнь	жизнь
дает	дает
лимоны,	лимоны,
я	я
ставлю	ставлю
лимонную	лимонную
аватарку!	аватарку! 🍋😜
#БудьЯрким	#БудьЯрким
#АватаркаМояЛучшеВсех	#АватаркаМояЛучшеВсех.

Всем	Всем
привет!	привет! 🤖
как	Как
же	же
меня	меня
бесит,	бесит, 
когда	когда 
аватарки	аватарки 
у	у 
людей	людей 
такие	такие 
унылые!	унылые! 😩 
