Абуз	Абуз,
когда	когда
ты	ты
просто	просто
психанул	психанул
и	и
начал	начал
гуглить	гуглить
мемы	мемы
про	про
абуз,	абуз,
а	а
твой	твой
кот	кот
уже	уже
сидит	сидит
рядом	рядом
и	и
смотрит	смотрит
на	на
тебя	тебя
с	с
презрением.	презрением.
😂✨	😂✨
#абуз	#абуз
#котосмотритель	#котосмотритель.

Когда	Когда
твой	твой
друг	друг
абузит	злоупотребляет
тебя	тобой
на	на
игрище	игровом марафоне,
но	но
ты	ты
уже	уже
не	не
можешь	можешь
с этим	с этим
мириться!	мириться! 😂😂
#гейминг	#гейминг
#абуз	#абуз
#друзьяумовчания	#друзья_умовчания

Когда	Когда
я	я
вижу	вижу
абузера	абузеров
в	в
Твиттере,	Твиттере,
у	у
меня	меня
начинается	начинается
настоящая	настоящая
баталия!	баталия! 😤💥
Ребята,	Ребята,
поддержите,	поддержите,
чтобы	чтобы
таких	таких
людей	людей
было	было
меньше!	меньше!
#абузеры	#абузеры
#ТвиттерЛюбовь	#ТвиттерЛюбовь.

Когда	Когда
твой	твой
друг	друг
постоянный	постоянный
абьюзер,	абьюзер,
но	но
ты	ты
всё	всё
равно	равно
готов	готов
снова	снова
и	и
снова	снова
его	его
в	в
свою	свою
жизнь	жизнь
пускать.	пускать.

Когда	Когда
видишь	видишь,
как	как
кто-то	кто-то
начинает	начинает
абузить	злоупотреблять
свою	свою
популярность	популярностью,
будто	будто
это	это
бесплатный	бесплатный
Wi-Fi!	Wi-Fi! 😂
#НеПонимаю	#НеПонимаю
#ЗаберитеЭтуСлаву	#ЗаберитеЭтуСлаву.

Люди	Люди,
которые	которые
абузят	злоупотребляют
свои	своими
соцсети	социальными сетями,
такие	такие
забавные!	забавные! 😂💀
Когда	Когда
вместо	вместо
норм	нормального
общения	общения
просто	просто
шлют	отправляют
мемы	мемы
и	и
флейм	флейм
до	до
упаду.	упаду.
#абузить	#злоупотреблять
#мемы	#мемы
#жизньвТвиттере	#жизнь_в_Твиттере

ЗАЧЕМ	Зачем
ЭТА	эта
АВАТАРКА	аватарка???
😱	😱
ЛУЧШЕ	Лучше
БЕЗ	без
ЛИЦА!	лица!
Я	Я
ХОЧУ	хочу
БЫТЬ	быть
ТАЙНОЙ	тайной
ЛЕГЕНДОЙ!	легендой!
👻	👻
#СкрытыеСущности	#СкрытыеСущности
#Мистерия	#Мистерия
Моя	Моя
реальная	реальная
аватарка	аватарка —
это	это
просто	просто
эмоции!	эмоции!
💥💔	💥💔

Когда	Когда
вижу,	вижу,
как	как
кто-то	кто-то
выкладывает	выкладывает
свои	свои
авы,	аватарки,
сразу	сразу
понимаю,	понимаю,
что	что
в	в
их	их
жизни	жизни
всё	всё
плохо.	плохо!
😂	😂
#ава	#аватарки
#одинокоесердце	#одинокоеСердце
#забудьтакуюжизнь	#забудьТакуюЖизнь

Когда	Когда
тебе	тебе
говорят	говорят
ава,	аву,
а	а
ты	ты
уже	уже
на	на
уровне	уровне
супергероя	супергероя
с	с
твоими	твоими
аватарами!	аватарами! 💥🦸‍♂️
#АваНаМаксималках	#АваНаМаксималках
#Мир3D	#Мир3D

Когда	Когда
вижу	вижу
людей	людей
в	в
аддидасах	Adidas –
сразу	сразу
становится	становится
понятно,	понятно,
что	что
они	они
готовы	готовы
к	к
прыжкам	прыжкам
в	в
небесах	небесах!
🏅✨	🏅✨
#Мода	#Мода
#Спорт	#Спорт
#Аддидас	#Adidas
#СтильЖизни	#СтильЖизни

Парни	Парни,
вы	Вы
видели	видели
этот	этот
новый	новый
аддон	аддон
к	к
игре?	игре? 😱
Просто	Просто
взорвал	взорвал
мозг,	мозг, я
я	я
в	в
шоке!	шоке! Теперь
Теперь	Теперь
играть	играть
стало	стало
по-настоящему	по-настоящему
интересно!	интересно! 🎮🔥
Кто	Кто
уже	уже
тестил?	тестировал? 
#Геймеры	#Геймеры 
#АддонМечты	#АддонМечты

Кто-то	Кто-то
вчера	вчера
в	в
магазине	магазине
сказал,	сказал,
что	что
аддидас	Adidas
—	это
это	это
не	не
бренд,	бренд,
а	а
образ	образ
жизни!	жизни!

Айда,	Айда,
народ!	народ! 😎
Кто	Кто
там	там
ещё	ещё
сидит	сидит
в	в
четырех	четырёх
стенах?	стенах?
Время	Время
выбираться	выбираться
и	и
зажигать!	зажигать! 💥
#айдаСвобода	#айдаСвобода
#НеТеряйВремя	#НеТеряйВремя

Когда	Когда
наконец-то	наконец-то
выйдет	выйдет
аддон	аддон
к	к
моей	моей
любимой	любимой
игре?!	игре?! 😩💔
Весь	Весь
мозг	мозг
на	на
плитах,	плитах,
а	а
я	я
жду,	жду,
когда	когда
меня	меня
затащит	затащит
в	в
новый	новый
контент!	контент!
#геймер	#геймер
#аддон	#аддон
#пустьбудеттак	#пустьбудеттак

Когда	Когда
поиграл	поиграл
в	в
игру	игру
с	с
аддоном,	аддоном,
почувствовал	почувствовал
себя	себя
магистром	магистром
всех	всех
виртуальных	виртуальных
миров!	миров! 💥✨
Кто	Кто
еще	ещё
в	в
теме?	теме? 😉
#Геймер	#Геймер
#Аддоны	#Аддоны
#ЧистоПоКайфу	#ЧистоПоКайфу

Когда	Когда
потерял	потерял
свой	свой
айди	идентификатор
и	и
теперь	теперь
просто	просто
блуждаю	блуждаю
по	по
интернету	интернету
как	как
потерянный	потерянный
щенок.	щенок!
Пусть	Пусть
мир	мир
меня	меня
найдет!	найдет! 🐶🌍
#гдеМойАйди	#гдеМойАйди
#блуждающийТвит	#блуждающийТвит
Русский	Русский
интернет,	интернет,
ты	ты
где?	где? 🤔💔

Когда	Когда
адик	адекватный человек
на	на
районе,	районе, 
это	это
не	не
просто	просто
адик,	адик, 
это	это
целый	целый
фурор!	фурор! 😂
Никаких	Никаких
проблем,	проблем, 
только	только
флекс	наслаждение 
и	и
хорошее	хорошее
настроение!	настроение! 
#адик	#адекватныйчеловек 
#жизньнаполнойкатушке	#жизньнаполненнойвесельем

Когда	Когда
увидел	увидел
свою	свою
старую	старую
фотографию,	фотографию,
вспомнил,	вспомнил,
как	как
у	у
меня	меня
было	было
идеальное	идеальное
айди	ID
в	в
соцсетях!	социальных сетях! 🤳💔
Жизнь,	Жизнь,
где	где
ты,	ты,
где	где
мое	мое
2010?	2010? 😂
#ностальгия	#ностальгия
#айди	#ID.

Вот	Вот,
кто-то	кто-то
попросил	попросил
меня	меня
скинуть	скинуть
свой	свой
айди,	айди,
а	а
я	я
только	только
что	что
потерял	потерял
его	его
в	в
вязании	вязании
с	с
котом!	котом! 🐱💔
Где	Где
же	же
мой	мой
айди?	айди?
Ладно,	Ладно,
